 DWS  (NON TE Data )Revenues,Service,Operator,Date,FY Budget,YTD Budget,YTD Actual,Year,Month,Day
TX IRU ,,,2015/Mar/1,14360000,14360000,44242050,2015,Mar,1
Orange,TX IRU ,Orange,2015/Mar/1,0,0,0,2015,Mar,1
Vodafone,TX IRU ,Vodafone,2015/Mar/1,0,0,36612000,2015,Mar,1
Etisalat,TX IRU ,Etisalat,2015/Mar/1,14360000,14360000,7630050,2015,Mar,1
ISP's Transmission ,,,2015/Mar/1,23145314,23145314,23823032,2015,Mar,1
Orange Data,ISP's Transmission ,Orange,2015/Mar/1,12716515,12716515,13088867,2015,Mar,1
Vodafone Data,ISP's Transmission ,Vodafone,2015/Mar/1,5824463,5824463,5995009,2015,Mar,1
NOL,ISP's Transmission ,Etisalat,2015/Mar/1,1616874,1616874,1664218,2015,Mar,1
EGY Net,ISP's Transmission ,Etisalat,2015/Mar/1,1913968,1913968,1970010,2015,Mar,1
Noor,ISP's Transmission ,Others,2015/Mar/1,1049999,1049999,1080744,2015,Mar,1
Yalla Misr,ISP's Transmission ,Others,2015/Mar/1,23495,23495,24183,2015,Mar,1
VSAT,ISP's Transmission ,Others,2015/Mar/1,0,0,0,2015,Mar,1
 Colocation  Revenues,,,2015/Mar/1,18307835,18307835,20965292,2015,Mar,1
MNO's Colocation,,,2015/Mar/1,15254517,15254517,18013945,2015,Mar,1
Orange,MNO's Colocation,Orange,2015/Mar/1,5069403,5069403,5961371,2015,Mar,1
Vodafone,MNO's Colocation,Vodafone,2015/Mar/1,5195342,5195342,6599032,2015,Mar,1
Etisalat,MNO's Colocation,Etisalat,2015/Mar/1,4989772,4989772,5453543,2015,Mar,1
ISP's Colocation,,,2015/Mar/1,3053318,3053318,2951347,2015,Mar,1
Orange Data,ISP's Colocation,Orange,2015/Mar/1,1312524,1312524,1268690,2015,Mar,1
Vodafone Data,ISP's Colocation,Vodafone,2015/Mar/1,906148,906148,875886,2015,Mar,1
NOL,ISP's Colocation,Etisalat,2015/Mar/1,397252,397252,383985,2015,Mar,1
EGY Net,ISP's Colocation,Etisalat,2015/Mar/1,235169,235169,227315,2015,Mar,1
Noor,ISP's Colocation,Others,2015/Mar/1,174425,174425,168599,2015,Mar,1
Yalla Misr,ISP's Colocation,Others,2015/Mar/1,27801,27801,26872,2015,Mar,1
International Services,,,2015/Mar/1,10040193,10040193,9083709,2015,Mar,1
IPT,,,2015/Mar/1,4789490,4789490,4843639,2015,Mar,1
Orange Data,IPT,Orange,2015/Mar/1,2777904,2777904,2809311,2015,Mar,1
Vodafone Data,IPT,Vodafone,2015/Mar/1,1676322,1676322,1695274,2015,Mar,1
NOL,IPT,Etisalat,2015/Mar/1,0,0,0,2015,Mar,1
EGY Net,IPT,Etisalat,2015/Mar/1,0,0,0,2015,Mar,1
Noor,IPT,Others,2015/Mar/1,335264,335264,339055,2015,Mar,1
Yalla Misr,IPT,Others,2015/Mar/1,0,0,0,2015,Mar,1
IPLCs ,,,2015/Mar/1,5250703,5250703,4240070,2015,Mar,1
Orange Data,IPLCs ,Orange,2015/Mar/1,1260169,1260169,1017617,2015,Mar,1
Vodafone Data,IPLCs ,Vodafone,2015/Mar/1,3097915,3097915,2501641,2015,Mar,1
NOL,IPLCs ,Etisalat,2015/Mar/1,525070,525070,424007,2015,Mar,1
Etisalat,IPLCs ,Etisalat,2015/Mar/1,0,0,0,2015,Mar,1
Mena,IPLCs ,Others,2015/Mar/1,367549,367549,296805,2015,Mar,1
Others,IPLCs ,Others,2015/Mar/1,0,0,0,2015,Mar,1
 Access Service,,,2015/Mar/1,8662786,8662786,10688917,2015,Mar,1
Local Loop ,,,2015/Mar/1,2564714,2564714,2598885,2015,Mar,1
Orange Data,Local Loop ,Orange,2015/Mar/1,554386,554386,561772,2015,Mar,1
Vodafone Data,Local Loop ,Vodafone,2015/Mar/1,956838,956838,969586,2015,Mar,1
NOL,Local Loop ,Etisalat,2015/Mar/1,357060,357060,361817,2015,Mar,1
EGY Net,Local Loop ,Etisalat,2015/Mar/1,355622,355622,360360,2015,Mar,1
Noor,Local Loop ,Others,2015/Mar/1,333074,333074,337512,2015,Mar,1
Yalla Misr,Local Loop ,Others,2015/Mar/1,7734,7734,7838,2015,Mar,1
ADSL ,,,2015/Mar/1,6098072,6098072,5513374,2015,Mar,1
Orange Data,ADSL ,Orange,2015/Mar/1,3416782,3416782,2982239,2015,Mar,1
Vodafone Data,ADSL ,Vodafone,2015/Mar/1,1409362,1409362,1391600,2015,Mar,1
NOL,ADSL ,Etisalat,2015/Mar/1,17541,17541,18005,2015,Mar,1
EGY Net,ADSL ,Etisalat,2015/Mar/1,1080620,1080620,998945,2015,Mar,1
Noor,ADSL ,Others,2015/Mar/1,142726,142726,82865,2015,Mar,1
Yalla Misr,ADSL ,Others,2015/Mar/1,31041,31041,39720,2015,Mar,1
Bit stream ,,,2015/Mar/1,0,0,2576658,2015,Mar,1
Orange Data,Bit stream ,Orange,2015/Mar/1,0,0,844200,2015,Mar,1
Vodafone Data,Bit stream ,Vodafone,2015/Mar/1,0,0,822828,2015,Mar,1
NOL,Bit stream ,Etisalat,2015/Mar/1,0,0,169920,2015,Mar,1
EGY Net,Bit stream ,Etisalat,2015/Mar/1,0,0,739710,2015,Mar,1
Noor,Bit stream ,Others,2015/Mar/1,0,0,0,2015,Mar,1
Yalla Misr,Bit stream ,Others,2015/Mar/1,0,0,0,2015,Mar,1
FTTs,,,2015/Mar/1,0,0,0,2015,Mar,1
